Word,Frequency
A,34
ACQUAINTANCE,1
ACTUAL,1
AGREE,2
AGREEMENT,1
AND,5
ANY,3
ANYTHING,1
APPEARANCE,1
ASCII,2
B,21
BE,1
BEFORE,1
BIBLIOGRAPHICAL,1
BREACH,2
BUT,1
BY,2
C,4
CHAPTER,15
CONSEQUENTIAL,1
CONTRACT,1
D,2
DAMAGE,1
DAMAGES,2
DESCRIPTION,1
DIRECT,1
DISCLAIMER,1
DISTRIBUTE,1
DISTRIBUTOR,1
DONATIONS,1
EBOOK,2
EIN,1
END,1
ERROR,1
EVEN,1
EXCEPT,1
EXISTENCE,1
EXPRESS,1
FALSEHOOD,1
FITNESS,1
FOR,3
FOUNDATION,1
FULL,2
GENERAL,1
GIVE,1
GUTENBERG,3
HAVE,1
HOW,1
I,151
IDEALISM,1
IF,1
II,1
III,1
IMPLIED,1
IN,1
INCIDENTAL,1
INCLUDING,1
INDEMNITY,1
INDIRECT,1
INDUCTION,1
INTUITIVE,1
IRS,1
IS,1
IV,3
IX,2
KIND,1
KNOWLEDGE,8
LIABILITY,1
LIABLE,1
LICENSE,2
LIMITED,3
LIMITS,1
MATTER,2
MERCHANTABILITY,1
NATURE,1
NEGLIGENCE,1
NO,2
NOT,2
NOTE,1
NOTICE,1
OF,20
ON,4
OPINION,1
OR,6
OTHER,1
OUR,2
OWNER,1
PARAGRAPH,1
PG,1
PGLAF,1
PHILOSOPHICAL,1
PHILOSOPHY,4
PLEASE,1
POSSIBILITY,1
POSSIBLE,1
PREFACE,1
PRINCIPLES,1
PROBABLE,1
PROBLEMS,3
PROJECT,4
PROVIDED,1
PUNITIVE,1
PURPOSE,1
READ,1
REALITY,1
REFUND,1
REMEDIES,1
REPLACEMENT,1
RIGHT,1
SEND,1
START,2
STRICT,1
SUCH,1
THAT,2
THE,14
THIS,3
THOSE,1
TO,2
TRADEMARK,1
TRUTH,1
UNDER,1
UNIVERSALS,2
USE,1
UT,1
VALUE,1
VI,3
VII,2
VIII,1
WARRANTIES,2
WARRANTY,2
WILL,1
WITH,1
WORK,1
WORLD,1
X,1
XI,2
XII,1
XIII,1
XIV,1
XV,1
YOU,6
